cluster_key,simplified_OS_name
0,polyethylene
1,polyester3
2,polyethylene2
3,polyester2
4,polyester
5,polybutadiene
6,acrylate/urethane/varnish
7,cellulose chemically modified
8,nitrile rubber
9,algae
10,polyurethane
11,polycaprolactone
12,chitin
13,polystyrene
14,silicone
15,ethyl cellulose
16,polyvinyl alcohol
17,polyamide
18,polyvinyl chloride
19,polypropylene
20,silica
21,aramid
22,polycarbonate
23,polyurethane2
24,resin
25,polylactic acid
26,poly(2 4 6 tribromostyrene)
27,poly(2 6 dimethyl p phenylene oxide)
28,poly(4 methyl 1 pentene)
29,phthalate
30,poly(ethylene glycol)
31,poly(phenylene sulfide)
32,polysulfone
33,poly(vinyl butyral)
34,polyacetal
35,polyacrylamide carboxyl modified
36,polychloroprene
37,polyetheretherketone
38,polyisoprene chlorinated
39,polyvinylpyrrolidone
40,polyetherurethane
41,vinylidene chloride acrylonitrile
42,coal
